entry_id,jlpt_level,surface,reading,tier,common,freq_rank,match,misc_tags,collision,gloss
1580130,5,"出端","では",B-review,false,,kana-expr,"",0,"chance of going out; opportunity (to succeed) | musical accompaniment for an actor going on stage"
1580150,1,"出来物","できもの",B-review,false,,kana-expr,"uk",0,"tumour; tumor; growth"
1580190,1,"瞬き","まばたき",B-review,false,,kanji,"",0,"blink (of eyes); wink | twinkling (of stars); flicker (of light); blink (of light)"
1580400,5,"上手","うわて",A-remove,false,,kanji,"",1,"upper part | upper stream; upper course of a river"
1580485,5,"丈夫","じょうふ",A-remove,false,,kanji,"",1,"hero; manly person; warrior"
1580555,1,"誠","まこと",C-collision-but-established,true,,kanji,"dated",1,"truth; reality; fact | sincerity; honesty; faithfulness"
1580825,3,"数","すう",C-collision-but-established,true,,kanji,"",1,"several; a few; a number of | number; quantity; amount"
1581550,1,"濯ぐ","すすぐ",B-review,false,,kanji,"uk",0,"to rinse; to wash out | to have one's revenge; to wipe out a disgrace"
1581795,3,"直","ちょく",C-collision-but-established,true,,kanji,"dated",1,"direct | honest; frank; straightforward"
1582430,2,"鈍い","にぶい",C-collision-but-established,true,30,kanji,"",1,"dull (e.g. a knife); blunt | thickheaded; obtuse; stupid"
1583240,1,"斑","ぶち",A-remove,false,,kanji,"uk",1,"spots; speckles; mottles"
1583430,3,"氷柱","つらら",C-collision-but-established,false,45,kanji,"uk/arch",1,"icicle | ice pillar (for cooling a room)"
1584070,1,"奉る","たてまつる",B-review,false,,kanji,"hum",0,"to offer; to present | to set someone up in a high position; to revere at a distance"
1584105,3,"方々","ほうぼう",C-collision-but-established,true,,kanji,"",1,"here and there; this way and that way; everywhere"
1584160,3,"頬","ほお",C-collision-but-established,true,32,kanji,"",1,"cheek (of the face)"
1584630,3,"命","めい",A-remove,false,,kanji,"",1,"order; command; decree | life"
1584680,3,"面","おもて",C-collision-but-established,true,,kanji,"",1,"face | surface"
1584695,3,"面","めん",C-collision-but-established,true,,kanji,"",1,"face | mask; face guard"
1584830,3,"夜中","やちゅう",A-remove,false,,kanji,"",1,"during the night; at night"
1585390,5,"佚","いつ",B-review,false,,kana-expr,"",0,"being comfortable; relaxing"
1585440,1,"倅","せがれ",B-review,false,,kanji,"uk/hum/col",0,"son | punk; brat"
1586010,3,"鮠","はや",A-remove,false,,kana-reading,"",1,"minnow; shinner"
1586730,3,"粗","あら",A-remove,false,,kanji,"uk",1,"remaining bony parts (of a fish after filleting) | flaw (esp. of a person); fault; defect"
1587140,3,"戦","いくさ",C-collision-but-established,true,14,kanji,"arch",1,"war; battle; campaign | troops; forces"
1587620,1,"嫌々","いやいや",B-review,false,,kanji,"uk",0,"unwillingly; reluctantly; grudgingly | shaking one's head in refusal (like a child)"
1588340,1,"虚ろ","うつろ",B-review,false,,kanji,"",0,"cavity; hollow; void | hollow (voice, smile, etc.); blank (eyes, look, etc.); vacant (expression, stare, etc.)"
1588760,3,"得る","える",C-collision-but-established,true,,kanji,"",1,"to get; to earn; to acquire | to understand; to comprehend"
1589400,3,"主なる","おもなる",A-remove,false,,kanji,"form",1,"main; principal; chief"
1589580,3,"下ろす","おろす",C-collision-but-established,true,,kanji,"",1,"to take down; to bring down; to lower (a hand, flag, shutter, etc.) | to drop off (a passenger); to let off; to unload ("
1590280,1,"箇条書き","かじょうがき",B-review,false,,kanji,"",0,"itemized form; itemised form; itemization"
1590540,2,"仮名","かな",C-collision-but-established,true,,kanji,"",1,"kana; Japanese syllabaries (i.e. hiragana and katakana)"
1591270,1,"来る","きたる",A-remove,false,,kanji,"",1,"next (e.g. ""next April""); forthcoming; coming | to come; to arrive; to be due to"
1591920,5,"切れ手","きれて",A-remove,false,,kanji,"",1,"man of ability"
1592460,3,"黒金","くろがね",A-remove,false,,kanji,"arch",1,"iron"
1593320,1,"言付け","ことづけ",B-review,false,,kanji,"arch",0,"(verbal) message; sending word | excuse; pretext"
1593330,2,"言付ける","ことづける",A-remove,false,,kanji,"arch",1,"to have someone send (a message, parcel, etc.); to send (via someone else); to leave (a message) with someone | to use a"
1593420,3,"交々","こもごも",A-remove,false,,kanji,"uk",1,"alternately; in succession"
1593650,2,"逆さま","さかさま",B-review,false,,kanji,"",0,"inverted; upside down; reversed"
1594160,1,"仕来り","しきたり",B-review,false,,kana-expr,"uk",0,"custom; convention; tradition"
1594250,1,"凝る","しこる",A-remove,false,,kanji,"",1,"to stiffen; to harden"
1595086,3,"退く","ひく",A-remove,false,,kanji,"rare",1,"to move back; to draw back; to recede | to lessen; to subside; to ebb"
1595750,2,"住まい","すまい",C-collision-but-established,true,,kanji,"",1,"dwelling; house; residence | living; life"
1595920,3,"すれ違う","すれちがう",B-review,false,,kanji,"",0,"to pass (by) each other; to brush past | to miss (meeting) each other; to fail to meet"
1595930,1,"擦れる","すれる",A-remove,false,,kanji,"",1,"to rub; to chafe | to wear out; to become worn"
1596200,2,"先々月","せんせんげつ",B-review,false,,kanji,"",0,"month before last"
1596870,1,"類い","たぐい",A-remove,false,,kanji,"",1,"kind; sort; type | equal; match; peer"
1598070,1,"円ら","つぶら",B-review,false,,kana-expr,"uk",0,"round and cute (esp. of eyes)"
1598460,2,"点々","てんてん",A-remove,false,,kanji,"",1,"here and there; little by little; sporadically | dots; spots"
